"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",274,2,0.986,,0.000,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",216,5,0.955,,0.000,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",78,4,0.902,,0.000,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",136,9,0.876,,0.000,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",43,7,0.720,28.818,0.000,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",97,24,0.603,47.201,0.000,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",34,13,0.447,9.723,0.002,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",68,39,0.271,7.959,0.005,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",22,13,0.257,2.340,0.126,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",99,1,0.980,,0.000,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",154,2,0.974,,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",243,8,0.936,,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",362,26,0.866,,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",236,34,0.748,,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",336,92,0.570,,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",164,57,0.484,54.047,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",243,156,0.218,19.123,0.000,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",44,0,1.000,60.997,0.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",102,2,0.962,,0.000,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",222,10,0.914,,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",326,26,0.852,,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",529,61,0.793,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",695,128,0.689,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",474,266,0.281,59.260,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",22,1,0.913,23.658,0.000,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",53,1,0.963,64.901,0.000,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",133,10,0.860,,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",246,23,0.829,,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",438,83,0.681,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",415,149,0.472,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",31,0,1.000,42.975,0.000,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",43,4,0.830,37.796,0.000,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",132,10,0.859,,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",155,22,0.751,,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",269,61,0.630,,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",19,0,1.000,26.340,0.000,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",35,1,0.944,40.768,0.000,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",94,13,0.757,69.176,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",76,26,0.490,25.600,0.000,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",14,0,1.000,19.408,0.000,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",25,3,0.786,19.748,0.000,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",43,11,0.593,20.267,0.000,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",8,1,0.778,6.198,0.013,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",14,4,0.556,5.884,0.015,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",3,0,1.000,4.159,0.041,1
